Latitude,Longitude,,,,,
55.98153N,3.59W,,,,,
55.97994N,3.59242W,,,,,
55.9781N,3.59441W,,,,,
55.97749N,3.59397W,,,,,
55.97707N,3.59377W,,,,,
55.97704N,3.59373W,,,,,
55.97704N,3.59388W,,,,,
55.97704N,3.59388W,,,,,
55.97703N,3.59387W,,,,,
55.97703N,3.59386W,,,,,
55.97703N,3.59386W,,,,,
55.97703N,3.59386W,,,,,
55.97704N,3.59387W,,,,,
55.97704N,3.59387W,,,,,
55.97705N,3.59387W,,,,,
55.97705N,3.59387W,,,,,
55.97704N,3.59387W,,,,,
55.97705N,3.59388W,,,,,
55.97704N,3.59386W,,,,,
55.97704N,3.59387W,,,,,
55.97705N,3.59385W,,,,,
55.97704N,3.59388W,,,,,
55.97704N,3.59385W,,,,,
55.97707N,3.59385W,,,,,
55.97707N,3.59387W,,,,,
55.97707N,3.59387W,,,,,
55.97708N,3.59388W,,,,,
55.97709N,3.59388W,,,,,
55.97708N,3.59388W,,,,,
55.97708N,3.59388W,,,,,
55.97709N,3.59388W,,,,,
55.97708N,3.59388W,,,,,
55.97708N,3.59388W,,,,,
55.97708N,3.59388W,,,,,
55.97708N,3.59388W,,,,,
55.97709N,3.59388W,,,,,
55.97708N,3.59387W,,,,,
55.97707N,3.59386W,,,,,
55.97709N,3.59388W,,,,,
55.97709N,3.59388W,,,,,
55.97709N,3.59388W,,,,,
55.97708N,3.59387W,,,,,
55.97707N,3.59387W,,,,,
55.97709N,3.59389W,,,,,
55.97709N,3.59388W,,,,,
55.97708N,3.59387W,,,,,
55.97706N,3.59386W,,,,,
55.97706N,3.59386W,,,,,
55.97708N,3.59388W,,,,,
55.97709N,3.59389W,,,,,
55.97708N,3.59387W,,,,,
55.97707N,3.59386W,,,,,
55.97707N,3.59387W,,,,,
55.97707N,3.59387W,,,,,
55.97708N,3.59389W,,,,,
55.97706N,3.5939W,,,,,
55.97706N,3.5939W,,,,,
55.97709N,3.59392W,,,,,
55.97707N,3.59393W,,,,,
55.97707N,3.59392W,,,,,
55.97705N,3.59389W,,,,,
55.97705N,3.5939W,,,,,
55.97706N,3.59391W,,,,,
55.97703N,3.59389W,,,,,
55.97703N,3.59386W,,,,,
55.97709N,3.59404W,,,,,
55.97718N,3.59409W,,,,,
55.97755N,3.59407W,,,,,
55.9776N,3.59519W,,,,,
55.97675N,3.5955W,,,,,
55.97673N,3.59446W,,,,,
55.97674N,3.59447W,,,,,
55.9767N,3.59402W,,,,,
55.97672N,3.59092W,,,,,
55.97682N,3.58671W,,,,,
55.97625N,3.58498W,,,,,
55.97565N,3.584W,,,,,
55.9752N,3.57927W,,,,,
55.97512N,3.57393W,,,,,
55.97486N,3.56824W,,,,,
55.97377N,3.56224W,,,,,
55.97225N,3.55713W,,,,,
55.971N,3.55189W,,,,,
55.97028N,3.54634W,,,,,
55.96978N,3.54034W,,,,,
55.96852N,3.53497W,,,,,
55.96702N,3.5296W,,,,,
55.96587N,3.52398W,,,,,
55.96497N,3.51797W,,,,,
55.96486N,3.51291W,,,,,
55.96497N,3.50952W,,,,,
55.96265N,3.509W,,,,,
55.95994N,3.50907W,,,,,
55.95647N,3.50931W,,,,,
55.95402N,3.50949W,,,,,
55.95159N,3.51045W,,,,,
55.9492N,3.50952W,,,,,
55.94662N,3.50899W,,,,,
55.94428N,3.50771W,,,,,
55.94189N,3.50863W,,,,,
55.93898N,3.50872W,,,,,
55.93607N,3.50708W,,,,,
55.93447N,3.50689W,,,,,
55.93291N,3.50735W,,,,,
55.93125N,3.5079W,,,,,
55.93014N,3.50667W,,,,,
55.93015N,3.50668W,,,,,
55.93015N,3.50668W,,,,,
55.93005N,3.50656W,,,,,
55.93018N,3.50502W,,,,,
55.93101N,3.50207W,,,,,
55.93163N,3.49889W,,,,,
55.93084N,3.49726W,,,,,
55.92922N,3.49624W,,,,,
55.92812N,3.49497W,,,,,
55.92849N,3.49426W,,,,,
